ir_ratio,clearance_norm,variance,combined_risk,label_terrain
0.8060399275409695,0.02142006731061917,0.15167448747721693,0.7805961873395957,1
0.34721234958970937,0.5371511382698769,0.23355442815868824,0.13731347072713357,0
0.5690927447108378,0.0039036144971131316,0.24503142797530952,0.5282815807698611,1
0.31201071569334005,0.7854242785832933,0.1998167646270122,0.08956656087288661,0
0.9554881304672604,0.06581011378502273,0.038718053506702904,0.8889240375248718,0
0.6428501846428865,0.007512911034945919,0.22385447841675124,0.6382063097629997,1
0.5836724295344744,0.017481254977227755,0.23732029306328425,0.5739415150188972,1
0.40209889121845316,0.008597411634271124,0.2231473408722762,0.4150741965777074,1
0.9829431457558537,0.01857153688050596,0.014137427305836493,0.9941631324345317,1
0.30944808961898945,0.026912527448551517,0.22340723254775235,0.2951467516016226,1
0.7986768663103605,0.9546060163905119,0.16100100116101382,0.027303581000778752,0
0.24788631398406247,0.9362679920660161,0.19094915474507873,0.013617639021567818,0
0.3037424303027574,0.021572050286749193,0.19854671097570903,0.28995984387303747,1
0.5986136616301543,0.029020395216535644,0.23854607990987936,0.5766152100337931,1
0.007691035977311911,0.3325307810929596,0.00736171226646707,0.0,0
0.2146390798534058,0.819914707963778,0.17857462851010447,0.05351728827628523,0
0.9543465539158942,0.01781829270658268,0.05363804473157392,0.9164273821954558,1
0.888283568911171,0.012078341539913814,0.10099000653186803,0.8844959020255738,1
0.48776988521484055,0.02463595233316377,0.25628277847786746,0.4835505127344493,1
0.48018342193555597,0.02656123917264075,0.25675547011861655,0.43026665494411676,1
0.590909290521224,0.01958405473202909,0.232332179021832,0.5881544885987415,1
0.45223371786729166,0.009867830536182003,0.2514893295656419,0.45805646402492683,1
0.13736810042300285,0.6844372996561897,0.11327598314405721,0.0627830089610166,0
0.7405657687318332,0.0026881756421470193,0.1998201743894376,0.7294039446682964,1
0.21718987082589858,0.28856907533091614,0.18535602852008135,0.1756751312717906,0
0.3542982350834941,0.01886507137206736,0.22804770568719218,0.3328618482862294,1
0.5678883041274289,0.738852100347654,0.23938718426584116,0.18944573083912872,0
0.9901089137531827,0.9854652079244614,0.00524591379010063,0.016075358972468787,0
0.44665143050613954,0.2054322760826517,0.24404909448983286,0.33414297309189783,0
0.6701152943566775,0.023690290202317842,0.22325650018735174,0.6568745743256592,1
0.10111437618609409,0.5614966492022024,0.0770008539239606,0.05255805938559192,0
0.40374289286809933,0.02093826879972127,0.2509485461650018,0.4155273273262454,1
0.08779062571884255,0.606779317498318,0.06298434731119959,0.0702878568316679,0
0.6951572471880806,0.2053119513343624,0.212418123297715,0.5674738394676094,0
0.8437150506305396,0.5667613879276568,0.12242510218190153,0.3870766752652891,0
0.5571711024063705,0.02578252585936824,0.2344127781683095,0.5543917969520782,1
0.7003105781565478,0.008155692348850463,0.20916249337344134,0.7194580645932988,1
0.3431840157487978,0.012219791606878003,0.20835959627603706,0.3219326160769288,1
0.8486550327275941,0.8085673566110357,0.13119297376503838,0.14721527557392527,0
0.0863048834611102,0.6381889283749989,0.06005627452818989,0.04735693964637025,0
0.8309231253567576,0.6237754455263206,0.13568035780723142,0.3613816695426365,0
0.9406737886640801,0.0026645790900424824,0.0711319428905384,0.9109859590184791,1
0.6319976049432336,0.653297386915992,0.2292140627496678,0.22408981816263665,0
0.5620199107985748,0.011821324314530821,0.25188786858141665,0.5728955679200528,1
