transition_rate,ir_ratio,variance,asymmetry,label_camouf
0.41872869512437805,0.4226066239942632,0.24760209584235543,0.08875221086723944,1
0.04090628693630214,0.7846266944562899,0.16382055370858695,0.28023616280734703,0
0.4883786281759856,0.6262983563289728,0.24070796770914443,0.1347300885412619,1
0.1188618138540255,0.8802699240260041,0.09513535148426276,0.380762871590215,0
0.06926426833511488,0.0742727421950802,0.0629140110299825,0.48654099688810865,0
0.40869820821250546,0.6075238255529036,0.24669279042834907,0.1237940182729164,1
0.5154648950163383,0.6291053531399204,0.22986596197442824,0.12347240549482183,1
0.38256164981160584,0.6388976011576983,0.23678642148980233,0.1426297836208255,1
0.3329584096016525,0.4192009435153276,0.23724010720693905,0.0696895141014673,1
0.28718387958114505,0.5703824902131606,0.2514517344221421,0.07284405424628419,1
0.00929067159994081,0.8445076917185776,0.12141529721650199,0.34029793110783696,0
0.05465762068711702,0.07256280504772669,0.07316303750529078,0.3875656273036908,0
0.4074382543994235,0.4097470692791201,0.2492909262516938,0.08615539744358558,1
0.31392992182714674,0.5355038921136372,0.246581602381501,0.011948662953810085,1
0.10735443228816806,0.17943196681365065,0.14888542858689946,0.3327777392165636,0
0.05925465243076897,0.7812128696083211,0.16868561858878464,0.2808225608202399,0
0.4467612442596878,0.5578635283089957,0.23930108225536048,0.09120378241613708,1
0.5652318123194013,0.5783113370752349,0.23331346431456407,0.09948102794584135,1
0.5076145963491762,0.6224685466100969,0.25200102883697434,0.14389940965479459,1
0.5093117986665208,0.5480908159104014,0.25764775028313003,0.03295491413901221,1
0.316379468007741,0.5541749278756302,0.24489984521430855,0.035390097061990027,1
0.48220041132095603,0.4882908776637619,0.2619140738502595,0.014622104774830759,1
0.11534494814674316,0.18464275965872345,0.15407020206441052,0.3024744771842062,0
0.34442053753646895,0.6368059131459701,0.24854108005644499,0.1392428024286192,1
0.05618716849111589,0.8912544422265276,0.09968326986801933,0.39930148199561444,0
0.5351745187282726,0.5475355503975277,0.2517965473798079,0.06183569067355048,1
0.003148654653879492,0.9618162459762409,0.03703943911340921,0.4630870050793773,0
0.029747636730105075,0.1299588417887837,0.11144044966684176,0.35271442586745905,0
0.05734527667836691,0.9449905505971948,0.049803353567994146,0.4443653223141099,0
0.33745639661504445,0.433902156963933,0.25681739848752155,0.06635871052360608,1
0.04807144489263268,0.9797130128147274,0.013725984311056708,0.46320969481981666,0
0.3625570635320427,0.5383876206028724,0.2509226657668399,0.05304870623219234,1
0.06278930871708682,0.08043412907824057,0.08610000941160054,0.43526386531673183,0
0.0910516500842253,0.14811136019760357,0.12908490418828292,0.32549382344171657,0
0.07636131783817071,0.04663947804890392,0.03484282485432588,0.4533650009110119,0
0.3839037983097884,0.6259566849238282,0.24683616898875663,0.10958720058298034,1
0.38875059535945394,0.5588239584701118,0.24166584774700553,0.06949691837748953,1
0.4598137666783305,0.4539090509325483,0.25749368913916776,0.06251058776220972,1
0.0557446156229303,0.021167453568822353,0.01263279206165697,0.4932494184737914,0
0.10207519737763357,0.15061331579089873,0.1168172919083699,0.3424997661104271,0
0.03378646352738349,0.8388623658951196,0.11874028618139619,0.3127243413161453,0
0.2947013934913821,0.35524946419621656,0.24172379749639736,0.15052509586398016,1
0.10389289468272905,0.2234724406805479,0.15314804368800516,0.25540139670993706,0
0.3289057341444659,0.5307348325899763,0.24531874928302444,0.020589404378100085,1
0.10875189510876594,0.11704444072005007,0.10185774373840682,0.39256778358492184,0
0.024218352983731546,0.7613145784676378,0.19002263031131383,0.28131659641174944,0
0.5168000447021657,0.38122278692547407,0.21749632317602763,0.12450387967186612,1
0.5198247636906937,0.59573069530226,0.22995782462432823,0.11432034544915537,1
0.5562617201595439,0.6120735872320332,0.23631623054803555,0.10765419524136874,1
0.0005036592996678246,0.05959811054725245,0.050425237664968064,0.4735902794299117,0
0.34614114429981097,0.5833954914712811,0.23981039778349722,0.06022722801982531,1
0.06796581607322488,0.976736500787166,0.02883999388669423,0.5110382646938165,0
0.42280543881062993,0.5712071232163399,0.2312105341739394,0.03893589525880511,1
0.2994502656358574,0.40529940469645737,0.23688263446795138,0.12473965460731455,1
0.48554029296234524,0.5942377056773486,0.23780617099683618,0.08199297098719356,1
0.5684652196412698,0.4526397800335685,0.24199819244014803,0.0,1
0.06615966596307614,0.03417376862225907,0.04864584370887913,0.48186936720099716,0
0.4448866903318105,0.4871691258858633,0.2447969761305904,0.024043924505712196,1
0.06474275322151796,0.7996457445565208,0.1577027133288683,0.27367287665674317,0
0.08628664773322392,0.018828080864282448,0.01702239860188913,0.47983273245768904,0
0.0978739098416433,0.9310481116635387,0.06991283240030487,0.4588050310704582,0
0.334197262393391,0.6108601015444939,0.24917033932696517,0.09531267184757575,1
0.0880928377057352,0.9070698647663034,0.08772424480127809,0.4088370245894248,0
0.07561126193464938,0.9439742705972961,0.05138718413589029,0.42166587052669197,0
0.08088314149513592,0.8702627818690796,0.13059745315134483,0.3310873086431677,0
0.30705871006007335,0.5285139034771283,0.24131521660862706,0.0325810926771037,1
0.03789977941836685,0.8379544788550353,0.12594249101654595,0.343940221813866,0
0.5502882687071403,0.44758718550852433,0.24256140657682407,0.0653053794178296,1
0.3428458668158799,0.5424859996143228,0.2475515633629801,0.03338256393524748,1
0.37926940745579474,0.5369894380482674,0.24685446026016686,0.028781771874541368,1
0.47135057303418565,0.39518328592055574,0.25352600301913414,0.09002842544739045,1
0.015751465331144514,0.9271763001372507,0.07500321507253548,0.4336150290210435,0
0.010588119034276136,0.8848758976125015,0.11344343586051162,0.3397654781658678,0
0.4787566853061946,0.42763399448000505,0.24685179719512762,0.03317260304239943,1
0.4984349312008499,0.3959433500251868,0.25435939712318717,0.11722450021326297,1
0.06641879166005207,0.9042691325015566,0.08893856051919546,0.3957619030962461,0
0.007248224255151236,0.8743135789871179,0.12223391437350153,0.3828703361978388,0
0.5696959524299237,0.4009275494621407,0.2400513210740588,0.09221831946559401,1
0.4439944660563365,0.609369082856801,0.240567771857713,0.1081001615779181,1
0.39743628123834135,0.44870171889866983,0.23911048385517078,0.026266147961883906,1
0.10606513343830581,0.17971949509853377,0.16647828052368854,0.3224670445607152,0
0.3005059600929876,0.4713582156721609,0.2421431026948524,0.04728137942703059,1
0.46409215412045757,0.47553484915263744,0.2318917006499635,0.020915313171876896,1
0.3342355451687139,0.5216368891166618,0.24121229585440876,0.008871234586091957,1
0.06060765410159952,0.12759890563002474,0.1081443015831848,0.36467352956123134,0
0.44604153286295495,0.4915219512555317,0.2359587817748068,0.015252016121251986,1
0.052442889131840746,0.12435284487285655,0.10881750273507056,0.3259962754089266,0
0.28955702875847805,0.5160288683491182,0.2577421881963305,0.014872318183000381,1
0.11282810314474673,0.09587725612318476,0.09432148937866394,0.4121374889506475,0
0.04360005382995172,0.8639006343754155,0.13223468808719976,0.3857513910475816,0
0.5944688490026944,0.5089427171210162,0.24713293856829702,0.01422812858225233,1
0.08313700726189206,0.14040813332109495,0.09578207533686597,0.38392633652886404,0
0.1146577073736996,0.1151855543152929,0.10819486633789083,0.3789940162230013,0
0.2872015134534667,0.4746329001776269,0.23925052804731264,0.015062731946208262,1
0.3771928319684617,0.4364448467100125,0.2525194242817487,0.10068302725648523,1
0.5308873939307379,0.5490471035386131,0.24392120516778737,0.043539304362251605,1
0.33672329613350466,0.5237389412105147,0.25235843561903715,0.03718933517733509,1
0.0003026114043384043,0.8779487485688546,0.0985708623131713,0.3724266396101395,0
0.4476522612863999,0.5162509164833,0.24105668308594128,0.02739366885136965,1
0.31404205637217675,0.45231990531507754,0.2558617807445336,0.023062808356243355,1
0.526760438315259,0.564185789751977,0.24824600190267698,0.0915799653113726,1
0.10563495156161162,0.18886345233131446,0.1525762880821062,0.31440510407640815,0
0.006658886528527281,0.8244467683073247,0.1494624452342115,0.2699976854874859,0
0.3683397278625753,0.480837958740595,0.2593510430765002,0.01854287624667355,1
0.11577877505666972,0.8483701376471565,0.1354653036731702,0.35060583027375364,0
0.42806397410203556,0.6122667574055527,0.23340505665961528,0.09920882195732146,1
